learningpatterns,0,創造的な学び,何かに取り組むプロジェクトをつくり、その活動のなかで他の人たちと関わりながら、考え、学んでいく。
learningpatterns,1,学びのチャンス,自分の興味・関心を軸として、どうすれば学びたいことを学べるかを考え、その機会をつくり出す。
learningpatterns,2,つくることによる学び,自分の興味・関心に合った何かをつくったり、実践したりするなかで、知識とスキルを培っていく。
learningpatterns,3,学びを開く,誰かと一緒に学んだり、そのプロセスや結果を共有したりすることで、他の人の学びを深め、自らの学びも深める。
learningpatterns,4,まずはつかる,興味・関心があることには、あれこれ考えずに飛びこんでみて、そこで見えたこと・わかったことから考え始める。
learningpatterns,5,まねぶことから,まずは手本となる人の真似から始め、基本的なことを学び取ってから、自分のオリジナリティについて考える。
learningpatterns,6,教わり上手になる,どこまで分かっていて、どこから分からないのかを把握してから質問し、やってもらうのではなく、やり方を教わる。
learningpatterns,7,アウトプットから始まる学び,何かをつくったり、実践したりする過程で、自分に足りない知識や、磨くべきスキルを見出し、学んでいく。
learningpatterns,8,外国語の普段使い,日頃から外国語で読み書きをしたり、会話をしたりする機会をつくり、こまめに外国語を使うようにする。
learningpatterns,9,学びのなかの遊び,興味があることと学びを結びつける工夫をし、学ぶ過程に楽しさや遊びをつくり出す。
learningpatterns,10,学びの竜巻,自らの興味・関心を中心に置き、関連する情報を「竜巻」で絡め取るように集め、自分がもつ知識と混ぜ合わせて関係づけていく。
learningpatterns,11,知のワクワク！,知らないことを知ったときの興奮や、何かを学んだことで以前とは世界が違って見えたときの感動を、学びの原動力にする。
learningpatterns,12,量は質を生む,知りたいことに関連する大量のインプットをし、それらを組み合わせて多面的に学びの対象を捉える。
learningpatterns,13,身体で覚える,スキルが身体に刻み込まれ、意識しなくても使えるようになるまで、繰り返し練習・実践する。
learningpatterns,14,言語のシャワー,聞いたり見たり読んだりする時間を増やし、たくさんの時間その言語に触れて、感覚をつかむようにする。
learningpatterns,15,成長の発見,どこがどう成長したのかを振り返ることができるように、学びの記録をつけて進歩を実感するようにする。
learningpatterns,16,動きの中で考える,プロトタイプ制作やフィールドワークを行い、そのとき感じたことや得た情報を踏まえて、考えを深めていく。
learningpatterns,17,プロトタイピング,プロトタイプ（試作品）をつくり、さまざまな可能性を吟味することで、よりよいものを目指す。
learningpatterns,18,フィールドに飛び込む,フィールド（現場）に飛び込み、「当事者」と作業をともにしながら、「外部者」としての視点や知識と結びつけて考える。
learningpatterns,19,鳥の眼と虫の眼,全体を俯瞰する視点と、細部をきめ細かく見る視点とを切り替えながら、物事を考えていく。
learningpatterns,20,隠れた関係性から学ぶ,物事の背後にある「隠れた関係性」を探究し、そのつながりに着目することで、これまでとは異なる視点や発想を得る。
learningpatterns,21,広げながら掘り下げる,ある程度の理解が進んだら、その周辺のことについても学び、関係づけながら、さらに知識を深めていく。
learningpatterns,22,探求への情熱,「自分が取り組む」ということをしっかりと意識し、情熱や愛情をもてるテーマを選ぶ。
learningpatterns,23,右脳と左脳のスイッチ,論理的な思考と感性的な思考の二つのモードを切り替えながら、物事に取り組む。
learningpatterns,24,小さく生んで大きく育てる,まずはアイデアをアウトプットすることに集中し、それを徐々に大きな成果に育てていく。
learningpatterns,25,魅せる力,伝えたい内容を理解してもらうだけでなく、その魅力を感じてもらえる伝え方を心がける。
learningpatterns,26,「書き上げた」は道半ば,書き上げた後に、「他者の眼」をもって、理解しやすいかどうかをチェックしながら、修正していく。
learningpatterns,27,ゴール前のアクセル,目標達成の直前では、「次のゴール」となる、より魅力的な未来や高い目標を設定して、いまの目標を達成しきる原動力にする。
learningpatterns,28,学びの共同体をつくる,同じ目的を持つ人や、互いに刺激し合える人と、一緒に学んでいける環境をつくる。
learningpatterns,29,偶有的な出会い,自分の興味・関心に関係する「場」に入ってみることで、同じような興味・関心の人と出会うことができる。
learningpatterns,30,ライバルをつくる,頑張っている人や負けたくないと思える人を見つけ、互いに刺激し合いながら、ともに成長できるように交流する。
learningpatterns,31,はなすことでわかる,考えていることを誰かに話し、相手の反応によって伝え方を変えていくことで、自分の考えを明確にしていく。
learningpatterns,32,教えることによる学び,知識やスキルを誰かに教える機会をつくり、相手の状況に合わせて伝えるということを通じて、さまざまな文脈での理解を図る。
learningpatterns,33,断固たる決意,これから取り組む活動をやり抜く覚悟を決め、それが実現できるように身のまわりの環境を整える。
learningpatterns,34,自分で考える,当たり前になっていることも、もう一度自分自身でなぜそれをするのかを考え、その意義を確認する。
learningpatterns,35,目的へのアプローチ,いまのアプローチで本当に目的を達成できるのかを考え、必要であれば、より適切なアプローチに切り替える。
learningpatterns,36,捨てる勇気,今までのテーマや方法を捨て、より広い視野や選択肢をもって、今後の学びについて考える。
learningpatterns,37,フロンティア・アンテナ,その分野のフロンティア・ラインを把握し、逆算して、そこに辿り着くために必要な知識を考え、学ぶ。
learningpatterns,38,セルフプロデュース,目指したい自分の未来像と、現在の自分との間の道のりを見通しながら、「自分づくり」を行う。
learningpatterns,39,突き抜ける,自分がどこで違いを生み出せるのかを考え、圧倒的な差異を生み出すほど、徹底的に取り組む。
